date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2022/1/4,14935.23,14941.19,14791.31,14681.71,570546880,-66.04,-0.44,14787.316,14770.68,14877.644,470218009.6,479895804.8,473833720
2022/1/5,14752.08,14767.22,14525.76,14469.37,583832768,-265.55,-1.79,14724.894,14754.358,14869.074,500553139.2,490242803.2,480518249.6
2022/1/6,14432.46,14497.76,14429.51,14298.48,513516000,-96.25,-0.66,14680.032,14718.176,14842.326,518400326.4,488431136,485788912
2022/1/7,14449.54,14495.67,14343.65,14331.98,561849856,-85.86,-0.59,14589.516,14666.148,14802.115,539684140.8,495376054.4,490354027.2
2022/1/10,14304.86,14430.09,14406.97,14194.35,463125088,63.32,0.44,14499.44,14635.812,14766.886,538574118.4,490952041.6,490817280
2022/1/11,14402.22,14433.56,14223.35,14201.9,475474048,-183.62,-1.27,14385.848,14586.582,14717.429,519559552,494888780.8,490832865.6
2022/1/12,14316.53,14426.12,14421.2,14293.41,466111360,197.85,1.39,14364.936,14544.915,14681.65,496015270.4,498284204.8,491060012.8
2022/1/13,14440.98,14440.98,14138.34,14138.34,495139104,-282.86,-1.96,14306.702,14493.367,14637.256,492339891.2,505370108.8,492066043.2
2022/1/14,14054.67,14219.44,14150.57,14039.87,506382240,12.23,0.09,14268.086,14428.801,14589.144,481246368,510465254.4,493660580.8
2022/1/17,14163,14374.47,14363.57,14159.27,505321952,213,1.5,14259.406,14379.423,14563.945,489685740.8,514129929.6,493717518.4
2022/1/18,14365.19,14444.54,14391.39,14285.63,548870208,27.82,0.19,14293.014,14339.431,14555.056,504364972.8,511962262.4,495929033.6
2022/1/19,14376.36,14413.38,14207.19,14120.24,483398528,-184.2,-1.28,14250.212,14307.574,14530.966,507822406.4,501918838.4,496080820.8
2022/1/20,14188.51,14312,14198.3,14149.5,517115360,-8.89,-0.06,14262.204,14284.453,14501.315,512217657.6,502278774.4,495354955.2
2022/1/21,14144.22,14181.62,14029.55,13991.64,438784160,-168.75,-1.19,14238,14253.043,14459.596,498698041.6,489972204.8,492674129.6
2022/1/24,13941.9,14133.04,14081.8,13918.99,371844192,52.25,0.37,14181.646,14220.526,14428.169,472002489.6,480844115.2,485898078.4
2022/1/25,14018.93,14091.88,13683.89,13682.72,446105472,-397.91,-2.83,14040.146,14166.58,14376.581,451449542.4,477907257.6,486398019.2
2022/1/26,13742.02,13820.94,13780.3,13580.4,351288320,96.41,0.7,13954.768,14102.49,14323.703,425027500.8,466424953.6,482354579.2
2022/1/27,13756.87,13773.5,13398.84,13395.36,373194464,-381.46,-2.77,13794.876,14028.54,14260.954,396243321.6,454230489.6,479800299.2
2022/1/28,13515.47,13553.22,13328.06,13227.83,358892928,-70.78,-0.53,13654.578,13946.289,14187.545,380265075.2,439481558.4,474973406.4
2022/2/7,13558.94,13632.45,13456.65,13412.2,371634368,128.59,0.96,13529.548,13855.597,14117.51,380223110.4,426112800,470121364.8
2022/2/8,13432.08,13432.33,13325.41,13051.8,394133088,-131.24,-0.97,13457.852,13748.999,14044.215,369828633.6,410639088,461300675.2
2022/2/9,13321.81,13541.87,13531.31,13283.2,430442336,205.9,1.54,13408.054,13681.411,13994.493,385659436.8,405343468.8,453631153.6
2022/2/10,13537.31,13537.31,13432.07,13339.5,408941568,-99.24,-0.73,13414.7,13604.788,13944.621,392808857.6,394526089.6,448402432
2022/2/11,13360.4,13452.72,13224.38,13206.63,441761792,-207.69,-1.55,13393.964,13524.271,13888.657,409382630.4,394823852.8,442398028.8
2022/2/14,13140.35,13280.08,13123.21,13049.45,391449472,-101.17,-0.77,13327.276,13428.412,13824.469,413345651.2,396784380.8,438814248
2022/2/15,13143.1,13346.67,13345.63,13138.44,371391616,222.42,1.7,13331.32,13394.586,13780.583,408797356.8,389312995.2,433610126.4
2022/2/16,13403.64,13446.06,13376.36,13339.8,375308768,30.73,0.23,13300.33,13354.192,13728.341,397770643.2,391715040,429069996.8
2022/2/17,13360.46,13490.86,13422.9,13322.69,429285632,46.54,0.35,13298.496,13356.598,13692.569,401839456,397324156.8,425777323.2
2022/2/18,13334.9,13460.21,13459.68,13316.47,388370528,36.78,0.27,13345.556,13369.76,13658.025,391161203.2,400271916.8,419876737.6
2022/2/21,13464.85,13503.09,13471.16,13404.73,448012128,11.48,0.09,13415.146,13371.211,13613.404,402473734.4,407909692.8,417011246.4
2022/2/22,13384.03,13384.03,13297.11,13216.63,456917856,-174.05,-1.29,13405.442,13368.381,13558.69,419578982.4,414188169.6,412413628.8
2022/2/23,13319.87,13553.27,13549.99,13319.87,454061024,252.88,1.9,13440.168,13370.249,13525.83,435329433.6,416550038.4,410946753.6
2022/2/24,13459.01,13538.71,13252.24,13093.97,629045632,-297.75,-2.2,13406.036,13352.266,13478.527,475281433.6,438560444.8,416543267.2
2022/2/25,13383.24,13540.99,13412.92,13383.24,434650880,160.68,1.21,13396.684,13371.12,13447.696,484537504,437849353.6,416336603.2
